order_id,order_date,region,category,product,units,unit_price,revenue,customer_id,product_id
33,2025-01-18,North,Clothing,Running Shorts,6,342.1,2052.6,81,9
34,2025-01-30,North,Clothing,Running Shorts,1,2828.32,2828.32,52,9
35,2025-01-07,North,Clothing,Merino Sweater,3,929.71,2789.13,41,8
36,2025-01-24,North,Clothing,Merino Sweater,6,379.29,2275.74,34,8
37,2025-01-06,North,Clothing,Merino Sweater,3,736.43,2209.29,97,8
38,2025-01-29,North,Clothing,Running Shorts,4,545.68,2182.72,55,9
39,2025-01-15,North,Clothing,Running Shorts,5,299.67,1498.35,73,9
40,2025-01-17,North,Clothing,Rain Jacket,5,301.16,1505.8,26,7
41,2025-01-24,North,Clothing,Rain Jacket,7,412.21,2885.47,10,7
42,2025-01-10,North,Clothing,Rain Jacket,2,743.63,1487.26,90,7
43,2025-01-19,North,Clothing,Running Shorts,3,1025.51,3076.53,43,9
44,2025-01-29,North,Clothing,Merino Sweater,1,1549.61,1549.61,28,8
45,2025-01-11,North,Clothing,Rain Jacket,1,2298.37,2298.37,15,7
46,2025-01-26,North,Home,Throw Blanket,8,352.16,2817.28,49,12
47,2025-01-06,North,Home,Throw Blanket,7,432.65,3028.55,13,12
48,2025-01-18,North,Home,Throw Blanket,7,342.16,2395.12,2,12
49,2025-01-15,North,Home,Throw Blanket,3,535.61,1606.83,94,12
50,2025-01-16,North,Home,Throw Blanket,4,404.74,1618.96,7,12
51,2025-01-13,North,Home,Desk Lamp,8,282.68,2261.44,48,11
52,2025-01-13,North,Home,Throw Blanket,1,1538.16,1538.16,36,12
53,2025-01-05,North,Home,Throw Blanket,4,645.06,2580.24,51,12
54,2025-01-20,North,Home,Cast Iron Pan,3,853.33,2559.99,16,10
55,2025-01-28,North,Home,Cast Iron Pan,6,507.87,3047.22,56,10
56,2025-01-30,North,Home,Cast Iron Pan,7,202.07,1414.49,49,10
57,2025-01-02,North,Home,Cast Iron Pan,4,704.09,2816.36,12,10
58,2025-01-05,North,Home,Desk Lamp,3,985.09,2955.27,17,11
59,2025-01-06,North,Home,Cast Iron Pan,4,481.66,1926.64,19,10
60,2025-01-05,North,Home,Cast Iron Pan,2,1273.8,2547.6,94,10
61,2025-01-11,North,Grocery,Olive Oil,4,590.21,2360.84,98,14
62,2025-01-25,North,Grocery,Coffee Beans,7,236.83,1657.81,35,13
63,2025-01-27,North,Grocery,Olive Oil,6,323.71,1942.26,47,14
64,2025-01-22,North,Grocery,Protein Bars,5,351.74,1758.7,8,15
65,2025-01-17,North,Grocery,Coffee Beans,8,161.85,1294.8,48,13
66,2025-01-06,North,Grocery,Olive Oil,5,393.16,1965.8,89,14
67,2025-01-07,North,Grocery,Olive Oil,3,722.77,2168.31,18,14
68,2025-01-12,North,Grocery,Coffee Beans,4,441.97,1767.88,8,13
69,2025-01-05,North,Grocery,Coffee Beans,8,295.75,2366.0,27,13
70,2025-01-25,North,Grocery,Olive Oil,3,683.82,2051.46,2,14
71,2025-01-02,North,Grocery,Olive Oil,2,1070.55,2141.1,38,14
72,2025-01-07,North,Grocery,Coffee Beans,6,333.06,1998.36,67,13
73,2025-01-05,North,Grocery,Olive Oil,1,2335.88,2335.88,72,14
74,2025-01-02,North,Grocery,Coffee Beans,8,288.02,2304.16,1,13
75,2025-01-31,North,Grocery,Olive Oil,8,182.23,1457.84,1,14
76,2025-01-01,South,Outdoor,Hiking Boots,1,1967.24,1967.24,135,3
77,2025-01-11,South,Outdoor,Hiking Boots,4,705.85,2823.4,112,3
78,2025-01-12,South,Outdoor,Trail Backpack,1,1951.89,1951.89,148,1
79,2025-01-03,South,Outdoor,Camping Tent,1,1648.28,1648.28,170,2
80,2025-01-18,South,Outdoor,Trail Backpack,1,1823.9,1823.9,192,1
81,2025-01-19,South,Outdoor,Trail Backpack,3,618.72,1856.16,200,1
82,2025-01-20,South,Outdoor,Camping Tent,3,857.67,2573.01,196,2
83,2025-01-08,South,Outdoor,Trail Backpack,3,1225.3,3675.9,163,1
84,2025-01-17,South,Outdoor,Trail Backpack,1,3000.86,3000.86,195,1
85,2025-01-14,South,Outdoor,Trail Backpack,4,931.65,3726.6,113,1
86,2025-01-31,South,Outdoor,Camping Tent,5,682.04,3410.2,146,2
87,2025-01-25,South,Outdoor,Hiking Boots,2,1111.31,2222.62,101,3
88,2025-01-10,South,Outdoor,Trail Backpack,3,900.06,2700.18,134,1
89,2025-01-28,South,Outdoor,Camping Tent,1,1838.23,1838.23,101,2
90,2025-01-08,South,Outdoor,Hiking Boots,5,677.68,3388.4,115,3
91,2025-01-19,South,Electronics,Action Camera,6,575.65,3453.9,198,6
92,2025-01-28,South,Electronics,Smart Speaker,1,3744.69,3744.69,174,5
93,2025-01-01,South,Electronics,Action Camera,5,924.06,4620.3,162,6
94,2025-01-03,South,Electronics,Wireless Earbuds,3,773.55,2320.65,189,4
95,2025-01-11,South,Electronics,Wireless Earbuds,7,416.67,2916.69,103,4
96,2025-01-13,South,Electronics,Smart Speaker,3,1159.77,3479.31,128,5
97,2025-01-26,South,Electronics,Wireless Earbuds,5,722.31,3611.55,102,4
98,2025-01-04,South,Electronics,Wireless Earbuds,5,909.12,4545.6,196,4
99,2025-01-04,South,Electronics,Wireless Earbuds,8,534.31,4274.48,122,4
100,2025-01-12,South,Electronics,Action Camera,5,400.58,2002.9,128,6
101,2025-01-20,South,Electronics,Action Camera,5,895.32,4476.6,171,6
102,2025-01-10,South,Electronics,Wireless Earbuds,4,561.6,2246.4,141,4
103,2025-01-09,South,Electronics,Wireless Earbuds,7,450.55,3153.85,189,4
104,2025-01-11,South,Electronics,Smart Speaker,2,1641.69,3283.38,130,5
105,2025-01-13,South,Electronics,Wireless Earbuds,8,458.51,3668.08,148,4
106,2025-01-03,South,Clothing,Merino Sweater,4,645.64,2582.56,137,8
107,2025-01-27,South,Clothing,Merino Sweater,8,231.38,1851.04,101,8
108,2025-01-10,South,Clothing,Merino Sweater,6,374.59,2247.54,128,8
109,2025-01-03,South,Clothing,Rain Jacket,8,250.14,2001.12,119,7
110,2025-01-12,South,Clothing,Merino Sweater,6,310.63,1863.78,113,8
111,2025-01-12,South,Clothing,Rain Jacket,2,1312.17,2624.34,194,7
112,2025-01-12,South,Clothing,Rain Jacket,2,1257.98,2515.96,175,7
113,2025-01-19,South,Clothing,Rain Jacket,1,1327.31,1327.31,176,7
114,2025-01-31,South,Clothing,Merino Sweater,4,573.79,2295.16,128,8
115,2025-01-06,South,Clothing,Rain Jacket,5,523.35,2616.75,131,7
116,2025-01-20,South,Clothing,Running Shorts,2,1044.9,2089.8,113,9
117,2025-01-15,South,Clothing,Rain Jacket,6,474.88,2849.28,192,7
118,2025-01-30,South,Clothing,Merino Sweater,5,493.9,2469.5,128,8
119,2025-01-07,South,Clothing,Running Shorts,8,286.03,2288.24,147,9
120,2025-01-03,South,Clothing,Rain Jacket,7,372.54,2607.78,169,7
121,2025-01-09,South,Home,Throw Blanket,3,653.11,1959.33,134,12
122,2025-01-02,South,Home,Desk Lamp,7,346.74,2427.18,166,11
123,2025-01-06,South,Home,Cast Iron Pan,3,395.49,1186.47,120,10
124,2025-01-14,South,Home,Desk Lamp,2,563.46,1126.92,178,11
125,2025-01-26,South,Home,Cast Iron Pan,6,269.04,1614.24,128,10
126,2025-01-30,South,Home,Cast Iron Pan,8,141.4,1131.2,119,10
127,2025-01-12,South,Home,Cast Iron Pan,2,932.55,1865.1,103,10
128,2025-01-17,South,Home,Cast Iron Pan,4,450.48,1801.92,103,10
129,2025-01-06,South,Home,Cast Iron Pan,5,447.67,2238.35,159,10
130,2025-01-30,South,Home,Desk Lamp,8,283.69,2269.52,176,11
131,2025-01-23,South,Home,Throw Blanket,5,235.0,1175.0,167,12
132,2025-01-19,South,Home,Cast Iron Pan,4,343.3,1373.2,161,10
133,2025-01-22,South,Home,Desk Lamp,6,273.83,1642.98,161,11
134,2025-01-22,South,Home,Cast Iron Pan,3,611.81,1835.43,179,10
135,2025-01-24,South,Home,Cast Iron Pan,4,595.95,2383.8,160,10
136,2025-01-18,South,Grocery,Protein Bars,1,1026.2,1026.2,186,15
137,2025-01-04,South,Grocery,Olive Oil,4,272.82,1091.28,190,14
138,2025-01-11,South,Grocery,Olive Oil,4,249.79,999.16,102,14
139,2025-01-24,South,Grocery,Protein Bars,3,594.47,1783.41,161,15
140,2025-01-27,South,Grocery,Protein Bars,8,148.59,1188.72,194,15
141,2025-01-28,South,Grocery,Coffee Beans,7,149.69,1047.83,159,13
142,2025-01-07,South,Grocery,Coffee Beans,4,465.25,1861.0,139,13
143,2025-01-24,South,Grocery,Olive Oil,7,134.11,938.77,134,14
144,2025-01-15,South,Grocery,Protein Bars,7,217.1,1519.7,129,15
145,2025-01-25,South,Grocery,Protein Bars,3,358.2,1074.6,200,15
146,2025-01-30,South,Grocery,Protein Bars,3,348.09,1044.27,137,15
147,2025-01-16,South,Grocery,Olive Oil,3,451.83,1355.49,110,14
148,2025-01-25,South,Grocery,Olive Oil,2,822.18,1644.36,151,14
149,2025-01-01,South,Grocery,Protein Bars,5,241.08,1205.4,163,15
150,2025-01-09,South,Grocery,Coffee Beans,1,1447.22,1447.22,148,13
151,2025-01-24,East,Outdoor,Camping Tent,6,605.55,3633.3,248,2
152,2025-01-02,East,Outdoor,Hiking Boots,2,1750.27,3500.54,276,3
153,2025-01-10,East,Outdoor,Hiking Boots,1,3057.51,3057.51,220,3
154,2025-01-12,East,Outdoor,Trail Backpack,3,947.88,2843.64,255,1
155,2025-01-03,East,Outdoor,Camping Tent,1,4208.47,4208.47,254,2
156,2025-01-22,East,Outdoor,Trail Backpack,8,459.64,3677.12,264,1
157,2025-01-28,East,Outdoor,Hiking Boots,3,1342.38,4027.14,237,3
158,2025-01-15,East,Outdoor,Hiking Boots,8,563.11,4504.88,263,3
159,2025-01-05,East,Outdoor,Hiking Boots,5,534.04,2670.2,263,3
160,2025-01-15,East,Outdoor,Trail Backpack,1,4125.18,4125.18,251,1
161,2025-01-18,East,Outdoor,Hiking Boots,8,504.91,4039.28,279,3
162,2025-01-31,East,Outdoor,Hiking Boots,1,3206.28,3206.28,230,3
163,2025-01-18,East,Outdoor,Trail Backpack,1,2464.64,2464.64,249,1
164,2025-01-11,East,Outdoor,Trail Backpack,8,271.84,2174.72,256,1
165,2025-01-14,East,Outdoor,Camping Tent,2,1221.31,2442.62,240,2
166,2025-01-09,East,Electronics,Wireless Earbuds,3,1092.58,3277.74,245,4
167,2025-01-17,East,Electronics,Action Camera,5,1135.76,5678.8,251,6
168,2025-01-14,East,Electronics,Smart Speaker,4,1244.35,4977.4,214,5
169,2025-01-05,East,Electronics,Smart Speaker,8,442.88,3543.04,229,5
170,2025-01-31,East,Electronics,Action Camera,8,435.15,3481.2,259,6
171,2025-01-21,East,Electronics,Smart Speaker,8,694.13,5553.04,275,5
172,2025-01-12,East,Electronics,Action Camera,3,1183.4,3550.2,286,6
173,2025-01-03,East,Electronics,Action Camera,1,4947.16,4947.16,282,6
174,2025-01-17,East,Electronics,Wireless Earbuds,2,2668.6,5337.2,223,4
175,2025-01-15,East,Electronics,Smart Speaker,2,2265.65,4531.3,299,5
176,2025-01-16,East,Electronics,Smart Speaker,5,660.19,3300.95,227,5
177,2025-01-06,East,Electronics,Smart Speaker,7,737.69,5163.83,250,5
178,2025-01-27,East,Electronics,Smart Speaker,8,597.03,4776.24,207,5
179,2025-01-14,East,Electronics,Wireless Earbuds,6,833.95,5003.7,220,4
180,2025-01-14,East,Electronics,Smart Speaker,4,1256.99,5027.96,246,5
181,2025-01-05,East,Clothing,Rain Jacket,5,409.57,2047.85,242,7
182,2025-01-25,East,Clothing,Rain Jacket,7,319.94,2239.58,236,7
183,2025-01-28,East,Clothing,Rain Jacket,2,1065.89,2131.78,263,7
184,2025-01-30,East,Clothing,Running Shorts,1,3359.85,3359.85,231,9
185,2025-01-24,East,Clothing,Rain Jacket,2,1818.56,3637.12,296,7
186,2025-01-08,East,Clothing,Rain Jacket,1,1631.38,1631.38,256,7
187,2025-01-16,East,Clothing,Rain Jacket,8,372.15,2977.2,249,7
188,2025-01-26,East,Clothing,Running Shorts,4,565.29,2261.16,210,9
189,2025-01-05,East,Clothing,Merino Sweater,7,285.5,1998.5,243,8
190,2025-01-18,East,Clothing,Running Shorts,7,507.39,3551.73,271,9
191,2025-01-05,East,Clothing,Merino Sweater,5,688.46,3442.3,216,8
192,2025-01-18,East,Clothing,Rain Jacket,8,380.49,3043.92,250,7
193,2025-01-31,East,Clothing,Rain Jacket,1,3134.4,3134.4,266,7
194,2025-01-10,East,Clothing,Rain Jacket,8,267.17,2137.36,207,7
195,2025-01-13,East,Clothing,Merino Sweater,7,336.1,2352.7,201,8
196,2025-01-19,East,Home,Desk Lamp,6,547.7,3286.2,219,11
197,2025-01-05,East,Home,Throw Blanket,1,2614.33,2614.33,222,12
198,2025-01-14,East,Home,Desk Lamp,2,1661.97,3323.94,254,11
199,2025-01-12,East,Home,Desk Lamp,4,576.5,2306.0,240,11
200,2025-01-03,East,Home,Desk Lamp,7,357.14,2499.98,239,11
201,2025-01-26,East,Home,Cast Iron Pan,8,393.72,3149.76,293,10
202,2025-01-20,East,Home,Desk Lamp,1,3204.38,3204.38,229,11
203,2025-01-30,East,Home,Cast Iron Pan,2,1225.36,2450.72,287,10
204,2025-01-26,East,Home,Throw Blanket,3,979.83,2939.49,242,12
205,2025-01-11,East,Home,Throw Blanket,8,367.65,2941.2,258,12
206,2025-01-02,East,Home,Cast Iron Pan,8,389.31,3114.48,291,10
207,2025-01-06,East,Home,Throw Blanket,5,360.46,1802.3,213,12
208,2025-01-09,East,Home,Throw Blanket,1,2123.56,2123.56,238,12
209,2025-01-03,East,Home,Cast Iron Pan,3,907.54,2722.62,232,10
210,2025-01-05,East,Home,Cast Iron Pan,6,325.73,1954.38,260,10
211,2025-01-07,East,Grocery,Protein Bars,2,814.2,1628.4,248,15
212,2025-01-06,East,Grocery,Protein Bars,5,242.3,1211.5,224,15
213,2025-01-21,East,Grocery,Olive Oil,4,537.24,2148.96,210,14
214,2025-01-19,East,Grocery,Olive Oil,8,260.48,2083.84,281,14
215,2025-01-15,East,Grocery,Protein Bars,1,1151.22,1151.22,275,15
216,2025-01-03,East,Grocery,Olive Oil,2,695.67,1391.34,272,14
217,2025-01-21,East,Grocery,Protein Bars,5,377.2,1886.0,226,15
218,2025-01-05,East,Grocery,Coffee Beans,4,563.0,2252.0,248,13
219,2025-01-18,East,Grocery,Olive Oil,6,384.65,2307.9,215,14
220,2025-01-17,East,Grocery,Coffee Beans,1,1292.34,1292.34,268,13
221,2025-01-13,East,Grocery,Protein Bars,8,152.43,1219.44,275,15
222,2025-01-22,East,Grocery,Olive Oil,8,263.7,2109.6,279,14
223,2025-01-02,East,Grocery,Coffee Beans,6,268.53,1611.18,204,13
224,2025-01-12,East,Grocery,Olive Oil,3,574.56,1723.68,286,14
225,2025-01-21,East,Grocery,Coffee Beans,8,218.3,1746.4,226,13
226,2025-01-23,West,Outdoor,Camping Tent,2,2626.52,5253.04,360,2
227,2025-01-15,West,Outdoor,Trail Backpack,6,800.44,4802.64,331,1
228,2025-01-30,West,Outdoor,Camping Tent,6,628.66,3771.96,377,2
229,2025-01-07,West,Outdoor,Trail Backpack,7,629.99,4409.93,384,1
230,2025-01-01,West,Outdoor,Trail Backpack,8,353.31,2826.48,395,1
231,2025-01-17,West,Outdoor,Trail Backpack,1,2289.01,2289.01,313,1
232,2025-01-13,West,Outdoor,Hiking Boots,4,1287.74,5150.96,391,3
233,2025-01-31,West,Outdoor,Camping Tent,4,1074.09,4296.36,345,2
234,2025-01-16,West,Outdoor,Trail Backpack,7,743.84,5206.88,367,1
235,2025-01-21,West,Outdoor,Camping Tent,2,2365.04,4730.08,373,2
236,2025-01-08,West,Outdoor,Camping Tent,6,780.4,4682.4,360,2
237,2025-01-25,West,Outdoor,Trail Backpack,7,615.27,4306.89,323,1
238,2025-01-27,West,Outdoor,Camping Tent,4,646.38,2585.52,342,2
239,2025-01-03,West,Outdoor,Camping Tent,7,554.48,3881.36,321,2
240,2025-01-04,West,Outdoor,Camping Tent,7,677.73,4744.11,381,2
241,2025-01-05,West,Electronics,Action Camera,7,548.62,3840.34,353,6
242,2025-01-08,West,Electronics,Action Camera,5,1235.84,6179.2,326,6
243,2025-01-08,West,Electronics,Action Camera,3,1320.82,3962.46,380,6
244,2025-01-19,West,Electronics,Smart Speaker,4,1320.65,5282.6,333,5
245,2025-01-27,West,Electronics,Smart Speaker,2,3100.67,6201.34,315,5
246,2025-01-28,West,Electronics,Wireless Earbuds,7,660.04,4620.28,306,4
247,2025-01-04,West,Electronics,Wireless Earbuds,4,1383.62,5534.48,321,4
248,2025-01-22,West,Electronics,Action Camera,2,1922.74,3845.48,356,6
249,2025-01-03,West,Electronics,Wireless Earbuds,1,4057.12,4057.12,341,4
250,2025-01-08,West,Electronics,Wireless Earbuds,4,1210.68,4842.72,370,4
251,2025-01-25,West,Electronics,Smart Speaker,8,741.63,5933.04,393,5
252,2025-01-14,West,Electronics,Action Camera,5,1102.01,5510.05,313,6
253,2025-01-11,West,Electronics,Smart Speaker,5,1167.65,5838.25,355,5
254,2025-01-07,West,Electronics,Action Camera,3,986.61,2959.83,339,6
255,2025-01-30,West,Electronics,Action Camera,8,478.92,3831.36,307,6
256,2025-01-02,West,Clothing,Rain Jacket,3,698.22,2094.66,396,7
257,2025-01-28,West,Clothing,Rain Jacket,8,276.36,2210.88,313,7
258,2025-01-27,West,Clothing,Running Shorts,7,326.6,2286.2,386,9
259,2025-01-10,West,Clothing,Running Shorts,3,681.37,2044.11,397,9
260,2025-01-01,West,Clothing,Rain Jacket,6,665.68,3994.08,398,7
261,2025-01-27,West,Clothing,Merino Sweater,3,1134.0,3402.0,322,8
262,2025-01-27,West,Clothing,Rain Jacket,5,478.67,2393.35,372,7
263,2025-01-15,West,Clothing,Merino Sweater,2,1278.31,2556.62,352,8
264,2025-01-26,West,Clothing,Merino Sweater,2,1312.83,2625.66,306,8
265,2025-01-29,West,Clothing,Rain Jacket,4,665.6,2662.4,316,7
266,2025-01-10,West,Clothing,Rain Jacket,8,363.57,2908.56,357,7
267,2025-01-19,West,Clothing,Merino Sweater,2,1470.1,2940.2,366,8
268,2025-01-17,West,Clothing,Rain Jacket,1,2211.4,2211.4,353,7
269,2025-01-12,West,Clothing,Rain Jacket,2,1244.82,2489.64,347,7
270,2025-01-01,West,Clothing,Running Shorts,3,1180.37,3541.11,397,9
271,2025-01-21,West,Home,Desk Lamp,2,1124.65,2249.3,382,11
272,2025-01-05,West,Home,Cast Iron Pan,2,1539.37,3078.74,387,10
273,2025-01-24,West,Home,Cast Iron Pan,1,2135.56,2135.56,324,10
274,2025-01-29,West,Home,Cast Iron Pan,4,866.81,3467.24,311,10
275,2025-01-28,West,Home,Cast Iron Pan,5,394.77,1973.85,381,10
276,2025-01-25,West,Home,Cast Iron Pan,3,943.81,2831.43,389,10
277,2025-01-19,West,Home,Throw Blanket,2,1196.99,2393.98,365,12
278,2025-01-20,West,Home,Cast Iron Pan,3,949.49,2848.47,377,10
279,2025-01-19,West,Home,Throw Blanket,2,1306.8,2613.6,352,12
280,2025-01-02,West,Home,Throw Blanket,3,751.31,2253.93,313,12
281,2025-01-05,West,Home,Desk Lamp,5,418.94,2094.7,379,11
282,2025-01-13,West,Home,Throw Blanket,8,402.53,3220.24,333,12
283,2025-01-23,West,Home,Desk Lamp,6,292.62,1755.72,358,11
284,2025-01-31,West,Home,Cast Iron Pan,3,1106.78,3320.34,330,10
285,2025-01-27,West,Home,Throw Blanket,5,672.6,3363.0,340,12
286,2025-01-17,West,Grocery,Olive Oil,8,275.44,2203.52,335,14
287,2025-01-03,West,Grocery,Coffee Beans,4,460.5,1842.0,323,13
288,2025-01-08,West,Grocery,Protein Bars,6,265.98,1595.88,322,15
289,2025-01-20,West,Grocery,Protein Bars,8,246.75,1974.0,330,15
290,2025-01-23,West,Grocery,Olive Oil,6,287.88,1727.28,367,14
291,2025-01-07,West,Grocery,Protein Bars,2,672.5,1345.0,307,15
292,2025-01-09,West,Grocery,Coffee Beans,3,906.85,2720.55,365,13
293,2025-01-22,West,Grocery,Coffee Beans,6,381.87,2291.22,375,13
294,2025-01-22,West,Grocery,Olive Oil,4,673.64,2694.56,314,14
295,2025-01-12,West,Grocery,Coffee Beans,5,301.27,1506.35,309,13
296,2025-01-22,West,Grocery,Protein Bars,2,786.48,1572.96,376,15
297,2025-01-13,West,Grocery,Olive Oil,5,515.96,2579.8,330,14
298,2025-01-28,West,Grocery,Olive Oil,6,247.85,1487.1,380,14
299,2025-01-11,West,Grocery,Protein Bars,1,1314.16,1314.16,388,15
300,2025-01-13,West,Grocery,Olive Oil,7,359.83,2518.81,345,14
301,2025-02-10,North,Outdoor,Camping Tent,8,303.24,2425.92,45,2
302,2025-02-08,North,Outdoor,Trail Backpack,2,1847.11,3694.22,61,1
303,2025-02-25,North,Outdoor,Hiking Boots,1,4276.55,4276.55,52,3
304,2025-02-16,North,Outdoor,Camping Tent,3,778.39,2335.17,43,2
305,2025-02-01,North,Outdoor,Camping Tent,8,336.18,2689.44,64,2
306,2025-02-27,North,Outdoor,Trail Backpack,7,634.24,4439.68,8,1
307,2025-02-19,North,Outdoor,Camping Tent,1,4127.84,4127.84,87,2
308,2025-02-09,North,Outdoor,Trail Backpack,6,583.63,3501.78,7,1
309,2025-02-27,North,Outdoor,Camping Tent,2,2222.22,4444.44,60,2
310,2025-02-11,North,Outdoor,Camping Tent,3,723.57,2170.71,76,2
311,2025-02-04,North,Outdoor,Hiking Boots,2,1170.24,2340.48,1,3
312,2025-02-18,North,Outdoor,Hiking Boots,3,779.42,2338.26,80,3
313,2025-02-16,North,Outdoor,Hiking Boots,8,410.66,3285.28,27,3
314,2025-02-23,North,Outdoor,Camping Tent,3,910.06,2730.18,24,2
315,2025-02-03,North,Outdoor,Camping Tent,8,562.06,4496.48,92,2
316,2025-02-18,North,Electronics,Smart Speaker,6,481.69,2890.14,43,5
317,2025-02-02,North,Electronics,Smart Speaker,7,569.02,3983.14,86,5
318,2025-02-02,North,Electronics,Action Camera,7,421.49,2950.43,44,6
319,2025-02-23,North,Electronics,Wireless Earbuds,4,1316.03,5264.12,85,4
320,2025-02-15,North,Electronics,Smart Speaker,1,3193.91,3193.91,56,5
321,2025-02-06,North,Electronics,Smart Speaker,8,358.75,2870.0,87,5
322,2025-02-14,North,Electronics,Action Camera,1,3622.53,3622.53,54,6
323,2025-02-13,North,Electronics,Action Camera,4,1437.87,5751.48,100,6
324,2025-02-21,North,Electronics,Action Camera,3,1209.28,3627.84,68,6
325,2025-02-01,North,Electronics,Action Camera,4,1213.11,4852.44,11,6
326,2025-02-18,North,Electronics,Action Camera,2,2208.95,4417.9,22,6
327,2025-02-09,North,Electronics,Smart Speaker,2,2771.62,5543.24,32,5
328,2025-02-26,North,Electronics,Wireless Earbuds,6,463.04,2778.24,6,4
329,2025-02-17,North,Electronics,Smart Speaker,1,4742.76,4742.76,4,5
330,2025-02-23,North,Electronics,Wireless Earbuds,6,488.09,2928.54,49,4
331,2025-02-01,North,Clothing,Rain Jacket,3,834.84,2504.52,85,7
332,2025-02-18,North,Clothing,Rain Jacket,7,354.57,2481.99,59,7
333,2025-02-05,North,Clothing,Running Shorts,1,3504.86,3504.86,58,9
334,2025-02-08,North,Clothing,Rain Jacket,6,276.47,1658.82,38,7
335,2025-02-26,North,Clothing,Merino Sweater,1,2449.7,2449.7,19,8
336,2025-02-05,North,Clothing,Running Shorts,1,2791.95,2791.95,32,9
337,2025-02-11,North,Clothing,Merino Sweater,4,466.5,1866.0,67,8
338,2025-02-18,North,Clothing,Rain Jacket,3,935.84,2807.52,48,7
339,2025-02-25,North,Clothing,Merino Sweater,2,1528.53,3057.06,22,8
340,2025-02-24,North,Clothing,Merino Sweater,6,397.49,2384.94,26,8
341,2025-02-11,North,Clothing,Rain Jacket,1,1655.51,1655.51,17,7
342,2025-02-05,North,Clothing,Merino Sweater,4,474.97,1899.88,87,8
343,2025-02-18,North,Clothing,Rain Jacket,3,800.2,2400.6,88,7
344,2025-02-15,North,Clothing,Rain Jacket,1,3598.3,3598.3,75,7
345,2025-02-07,North,Clothing,Merino Sweater,5,602.27,3011.35,49,8
346,2025-02-19,North,Home,Desk Lamp,5,296.3,1481.5,16,11
347,2025-02-27,North,Home,Throw Blanket,5,396.07,1980.35,76,12
348,2025-02-02,North,Home,Desk Lamp,2,743.22,1486.44,24,11
349,2025-02-10,North,Home,Throw Blanket,6,368.41,2210.46,15,12
350,2025-02-23,North,Home,Desk Lamp,5,600.63,3003.15,70,11
351,2025-02-25,North,Home,Throw Blanket,2,1599.07,3198.14,31,12
352,2025-02-23,North,Home,Throw Blanket,6,386.89,2321.34,24,12
353,2025-02-17,North,Home,Desk Lamp,3,596.04,1788.12,23,11
354,2025-02-06,North,Home,Cast Iron Pan,1,2183.11,2183.11,23,10
355,2025-02-03,North,Home,Throw Blanket,7,249.43,1746.01,36,12
356,2025-02-05,North,Home,Desk Lamp,8,373.29,2986.32,59,11
